Start;Duration;Pitch;Velocity;Instrument
5.000000;0.998958;45;80;piano
5.000000;0.998958;48;80;piano
5.000000;0.998958;54;80;piano
6.000000;0.998958;46;75;piano
6.000000;0.998958;49;75;piano
6.000000;0.998958;55;75;piano
7.000000;0.998958;47;70;piano
7.000000;0.998958;51;70;piano
7.000000;0.998958;56;70;piano
8.000000;0.948958;56;64;piano
8.000000;0.948958;58;64;piano
8.000000;1.780208;51;64;piano
8.000000;1.780208;63;64;piano
9.000000;0.948958;55;80;piano
9.000000;0.948958;58;80;piano
9.875000;0.117708;51;66;piano
9.875000;0.117708;63;66;piano
10.021875;1.976042;56;64;piano
10.043750;1.954167;60;64;piano
10.065625;1.932292;63;64;piano
10.000000;1.998958;51;64;piano
17.000000;0.998958;48;80;piano
17.000000;0.998958;51;80;piano
17.000000;0.998958;57;80;piano
18.000000;0.998958;49;75;piano
18.000000;0.998958;52;75;piano
18.000000;0.998958;58;75;piano
19.000000;0.998958;50;70;piano
19.000000;0.998958;54;70;piano
19.000000;0.998958;59;70;piano
20.000000;0.948958;59;64;piano
20.000000;0.948958;61;64;piano
20.000000;1.780208;54;64;piano
20.000000;1.780208;66;64;piano
21.000000;0.948958;58;80;piano
21.000000;0.948958;61;80;piano
21.875000;0.117708;54;53;piano
21.875000;0.117708;66;53;piano
22.021875;1.976042;59;49;piano
22.043750;1.954167;63;49;piano
22.065625;1.932292;66;49;piano
22.000000;1.998958;54;49;piano
24.000000;0.063542;75;115;piano
24.000000;0.063542;87;115;piano
24.064583;0.933333;75;115;piano
24.064583;0.933333;87;115;piano
25.000000;0.063542;69;127;piano
25.000000;0.063542;81;127;piano
25.064583;0.933333;69;127;piano
25.064583;0.933333;81;127;piano
26.000000;0.060417;81;115;piano
26.000000;0.060417;93;115;piano
26.061458;0.092708;81;115;piano
26.061458;0.092708;93;115;piano
26.500000;0.060417;75;115;piano
26.500000;0.060417;87;115;piano
26.561458;0.092708;75;115;piano
26.561458;0.092708;87;115;piano
27.500000;0.123958;54;127;piano
27.500000;0.123958;57;127;piano
27.500000;0.123958;63;127;piano
28.000000;0.123958;54;127;piano
28.000000;0.123958;58;127;piano
28.000000;0.123958;63;127;piano
28.000000;0.123958;66;127;piano
30.000000;0.063542;75;127;piano
30.000000;0.063542;87;127;piano
30.064583;0.933333;75;127;piano
30.064583;0.933333;87;127;piano
31.000000;0.060417;70;127;piano
31.000000;0.060417;82;127;piano
31.061458;0.936458;70;127;piano
31.061458;0.936458;82;127;piano
32.000000;0.058333;82;115;piano
32.000000;0.058333;94;115;piano
32.059375;0.093750;82;115;piano
32.059375;0.093750;94;115;piano
32.500000;0.058333;75;115;piano
32.500000;0.058333;87;115;piano
32.559375;0.093750;75;115;piano
32.559375;0.093750;87;115;piano
33.500000;0.123958;54;127;piano
33.500000;0.123958;58;127;piano
33.500000;0.123958;63;127;piano
33.500000;0.123958;66;127;piano
34.000000;0.123958;60;127;piano
34.000000;0.123958;63;127;piano
34.000000;0.123958;66;127;piano
34.000000;0.123958;72;127;piano
34.500000;0.060417;84;115;piano
34.500000;0.060417;96;115;piano
34.561458;0.092708;84;115;piano
34.561458;0.092708;96;115;piano
35.000000;0.060417;75;117;piano
35.000000;0.060417;87;117;piano
35.061458;0.092708;75;117;piano
35.061458;0.092708;87;117;piano
36.000000;0.123958;60;127;piano
36.000000;0.123958;63;127;piano
36.000000;0.123958;67;127;piano
36.000000;0.123958;72;127;piano
36.500000;0.052083;84;126;piano
36.500000;0.052083;96;126;piano
36.553125;0.096875;84;126;piano
36.553125;0.096875;96;126;piano
37.000000;0.052083;75;127;piano
37.000000;0.052083;87;127;piano
37.053125;0.096875;75;127;piano
37.053125;0.096875;87;127;piano
37.875000;0.061458;87;127;piano
37.875000;0.061458;93;127;piano
37.875000;0.061458;99;127;piano
38.000000;0.436458;87;127;piano
38.000000;0.436458;93;127;piano
38.000000;0.436458;99;127;piano
38.875000;0.061458;81;127;piano
38.875000;0.061458;87;127;piano
38.875000;0.061458;93;127;piano
39.000000;0.436458;81;127;piano
39.000000;0.436458;87;127;piano
39.000000;0.436458;93;127;piano
39.875000;0.123958;75;127;piano
39.875000;0.123958;81;127;piano
39.875000;0.123958;87;127;piano
40.000000;0.248958;75;127;piano
40.000000;0.248958;81;127;piano
40.000000;0.248958;87;127;piano
40.375000;0.123958;69;127;piano
40.375000;0.123958;75;127;piano
40.375000;0.123958;81;127;piano
40.500000;0.248958;69;127;piano
40.500000;0.248958;75;127;piano
40.500000;0.248958;81;127;piano
40.875000;0.123958;66;127;piano
40.875000;0.123958;69;127;piano
40.875000;0.123958;75;127;piano
41.000000;0.248958;66;127;piano
41.000000;0.248958;69;127;piano
41.000000;0.248958;75;127;piano
41.375000;0.123958;60;127;piano
41.375000;0.123958;63;127;piano
41.375000;0.123958;69;127;piano
41.500000;0.248958;60;127;piano
41.500000;0.248958;63;127;piano
41.500000;0.248958;69;127;piano
41.875000;0.123958;54;127;piano
41.875000;0.123958;57;127;piano
41.875000;0.123958;63;127;piano
42.000000;0.248958;54;127;piano
42.000000;0.248958;57;127;piano
42.000000;0.248958;63;127;piano
42.375000;0.123958;48;127;piano
42.375000;0.123958;51;127;piano
42.375000;0.123958;57;127;piano
42.500000;0.998958;48;127;piano
42.500000;0.998958;51;127;piano
42.500000;0.998958;57;127;piano
43.500000;0.973958;47;127;piano
43.500000;0.973958;51;127;piano
43.500000;0.973958;57;127;piano
44.500000;0.498958;46;127;piano
44.500000;0.498958;50;127;piano
44.500000;0.498958;57;127;piano
45.000000;0.498958;54;102;piano
45.000000;1.473958;46;102;piano
45.000000;1.473958;50;102;piano
45.500000;0.973958;55;91;piano
49.750000;0.157292;45;49;piano
49.916667;0.196875;46;49;piano
50.125000;0.157292;49;50;piano
50.291667;0.157292;52;53;piano
50.458333;0.157292;53;56;piano
50.625000;0.157292;55;58;piano
50.791667;0.157292;57;61;piano
50.958333;0.157292;58;64;piano
51.125000;0.117708;49;49;piano
53.750000;0.157292;65;49;piano
53.916667;0.196875;64;49;piano
54.125000;0.157292;62;52;piano
54.291667;0.157292;59;56;piano
54.458333;0.157292;56;60;piano
54.625000;0.157292;53;64;piano
54.791667;0.157292;52;59;piano
54.958333;0.157292;50;54;piano
55.125000;0.117708;44;49;piano
58.125000;0.117708;50;49;piano
58.125000;0.117708;53;49;piano
58.250000;0.117708;50;49;piano
58.250000;0.117708;53;49;piano
58.625000;0.117708;50;49;piano
58.625000;0.117708;53;49;piano
58.750000;0.117708;50;49;piano
58.750000;0.117708;53;49;piano
59.125000;0.117708;50;49;piano
59.125000;0.117708;53;49;piano
59.250000;0.117708;50;49;piano
59.250000;0.117708;53;49;piano
59.625000;0.117708;50;49;piano
59.625000;0.117708;53;49;piano
59.750000;0.117708;50;49;piano
59.750000;0.117708;53;49;piano
60.125000;0.117708;50;48;piano
60.125000;0.117708;52;48;piano
60.250000;0.117708;50;47;piano
60.250000;0.117708;52;47;piano
60.625000;0.117708;50;44;piano
60.625000;0.117708;52;44;piano
60.750000;0.117708;50;43;piano
60.750000;0.117708;52;43;piano
61.125000;0.117708;50;40;piano
61.125000;0.117708;52;40;piano
61.250000;0.117708;50;39;piano
61.250000;0.117708;52;39;piano
61.625000;0.117708;50;36;piano
61.625000;0.117708;52;36;piano
61.750000;0.117708;50;35;piano
61.750000;0.117708;52;35;piano
62.125000;0.123958;51;39;piano
62.250000;0.123958;51;39;piano
62.625000;0.123958;51;39;piano
62.750000;0.123958;51;39;piano
64.125000;0.123958;46;39;piano
64.250000;0.123958;46;39;piano
64.625000;0.123958;46;39;piano
64.750000;0.123958;46;39;piano
66.125000;0.123958;49;39;piano
66.250000;0.123958;49;39;piano
67.125000;0.123958;45;39;piano
67.250000;0.123958;45;39;piano
68.000000;0.123958;57;58;piano
68.000000;0.123958;69;58;piano
68.125000;0.123958;57;58;piano
68.125000;0.123958;69;58;piano
68.500000;0.123958;58;60;piano
68.500000;0.123958;70;60;piano
68.625000;0.123958;58;60;piano
68.625000;0.123958;70;60;piano
69.000000;0.123958;57;61;piano
69.000000;0.123958;69;61;piano
69.125000;0.123958;57;61;piano
69.125000;0.123958;69;61;piano
69.500000;0.123958;56;62;piano
69.500000;0.123958;68;62;piano
69.625000;0.123958;56;62;piano
69.625000;0.123958;68;62;piano
70.000000;0.123958;55;63;piano
70.000000;0.123958;67;63;piano
70.125000;0.123958;55;64;piano
70.125000;0.123958;67;64;piano
70.500000;0.123958;54;66;piano
70.500000;0.123958;66;66;piano
70.625000;0.123958;54;66;piano
70.625000;0.123958;66;66;piano
71.000000;0.123958;53;67;piano
71.000000;0.123958;65;67;piano
71.125000;0.123958;53;67;piano
71.125000;0.123958;65;67;piano
71.500000;0.123958;52;68;piano
71.500000;0.123958;64;68;piano
71.625000;0.123958;52;68;piano
71.625000;0.123958;64;68;piano
72.000000;0.123958;51;69;piano
72.000000;0.123958;63;69;piano
72.125000;0.123958;51;70;piano
72.125000;0.123958;63;70;piano
72.500000;0.123958;50;72;piano
72.500000;0.123958;62;72;piano
72.625000;0.123958;50;72;piano
72.625000;0.123958;62;72;piano
73.000000;0.123958;49;73;piano
73.000000;0.123958;61;73;piano
73.125000;0.123958;49;73;piano
